NodeID,FluidType,BufferName,LoadVolume
1,source,wash buffer,40
2,source,imaging buffer,21
3,source,tcep,20
4,source,2x-SSC,50
5,source,universal_fluors,15
6,source,round_1,1.5
15,source,round_2,1.5
16,source,round_3,1.5
17,source,round_4,1.5
18,source,round_5,1.5
19,source,round_6,1.5
20,source,round_7,1.5
21,source,round_8,1.5
22,source,round_9,1.5
23,source,round_10,1.5
waste,destination,waste_tank,0
